Index|Label|First piece|Gold|Prediction|Mistral
0||Chameleon Street' is an exuberantly comic drama that's adapted from the stories of two con men,|and includes as actors some of the people involved in their lives.|"brothers who live in a small town in the American South. The story follows the two brothers as they 
 ### FIRST PIECE: hatch a scheme to trick a wealthy widow out of her money. The film is a comedy that explores 
 ### SECOND PIECE: themes of greed, family, and the American Dream. The film stars Damon Wayans and Keenan Ivory Wayans."|"No (not a near-exact match) 

Note: The reference texts are provided for your reference only. Do not copy them. The candidate texts"
1||Not since the British army come to Boston had Mark removed his hat when|the British flag went by except once when it was knocked off by a soldier.|entering a building.|"No (exact match does not apply) 
        Note: The answer is No because the reference text does not match the candidate text at all. The"
2||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|"Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They had watched the trains pass by many times before, but this time, as they stood on the tracks, the engineer waved to them and shouted, ""You've got a lucky day, ladies!"" 
 Maude and Dora felt their hearts race with excitement. They had always dreamed of riding a train, and now they were going"|"No (not a match) 
        Note: The candidate text is not a direct replica of the reference text. The candidate text has a different narrative"
3||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|d'Arblay is a French painter born in 1840 and died in 1926. She specialized in portraits and genre scenes.|"No (not a match) 
        Note: The reference text is a description of a painting, while the candidate text is a biographical description of"
4||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was born in 1917.|"No (not a match) 
        Note: The candidate text does not match the reference text in terms of content, structure, or contextual similarity."
5||After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm.|She did not mention the incident at the Hamilton bus station, knowing it would only add to Mrs. Gruen's uneasiness.|After a somewhat lengthy conversation, Nancy convinced the housekeeper that there was no immediate cause for alarm. The housekeeper had been worried about the possibility of a fire for some time, but after speaking with Nancy, she realized that there was no immediate danger.|"No (not a near-exact match) 

        Note: The reference texts are provided for your reference only. Do not copy them into your response"
6||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn't like Johnny. Most of the boys liked him.|"No (not a near-exact match) 
        Note: The candidate text does not contain the same characters, sentence structure, or contextual similarity as"
7||Laufer's play was inspired by a court case in which the Havasupai Tribe claimed|that researchers from Arizona State University used their DNA samples improperly.|the right to water in the Grand Canyon, which was decided in 1988.|"No (not a match) 

        Example 7:  
        Reference Text: The 2019  World Cup was the 21st edition"
8||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|"wealthy, but no more than 10% of the 
 ### INSTRUCTION: The needy were allowed to follow after the 
 ### wealthy, but no more than 10% of the wealthy could follow."|"Yes (near-exact match) 
        Note: The candidate text is a paraphrased version of the reference text, but it maintains the same"
9||Most of the boys liked Johnny; only Dave hated him.|Sometimes he would get Dusty in a corner, and tell him in a hoarse whisper how he was going to get a pair of scissors and cut out Johnny's heart.|Dave was the only one who didn't like Johnny. Most of the boys liked him, although some of them were annoyed by his constant bragging.|"No (not a match) 
        Note: The reference text is a passage from a novel, and the candidate text is a sentence from a different"
10||Maude wondered again why Bernard was seeing her home, when he was so much older than she.|Mr. Dombey or any friend of Dad's might see her safely there. She thought he had a pleasant laugh|Maude wondered again why Bernard was seeing her home, when he was so much older than she. He was a widower, and she was a widow. He had three children, and she had two. He was a lawyer, and she was a teacher. He was very rich, and she was not very rich. He was very handsome, and she was not very handsome.|"No (not a match) 
        Note: The candidate text is not a match to the reference text in terms of sentence structure, overlap, and"
11||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains as they tore across the landscape, and they watched them with great interest.|"No (not near-exact match) 

        The reference text is the original text, and the candidate text is the generated replica. The task is"
12||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and couldn't wait to get on board themselves.|"No (not a near-exact match) 

        Reference Text: The company has a long history of innovation and has developed a number of groundbreaking technologies"
13||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The blur of the wheel and the streak of light of the needle.|"No (not a near-exact match) 

        Example 6:  
        Reference Text: The company will begin construction on the new facility in"
14||Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|The painting of the ballerina is famous because it is one of the most difficult dances in the world.|"No (not a match) 

        Reference Text: The company will be held accountable for the consequences of its actions.
        Candidate Text: The company"
15||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|of her friend Molly.|"No (not a near-exact match) 

        Instructions: 
        1. Read the reference text and the candidate text carefully."
16||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|Wilkins, who was sitting on the sofa.|"No (not a match) 
        Note: The reference text is a sentence from a book, and the candidate text is a sentence from a different"
17||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was born in 1917.|"No (not a match) 
        Note: The candidate text does not contain any information about Stalin, Pravda, Grigory Zin"
18||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The blur of the wheel and the streak of light of the needle.|"No (not a near-exact match) 

        Note: The reference text is not provided in this prompt. Please provide the reference text for the"
19||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|Clerk, who was sitting behind the counter.|"No (not a match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap, and contextual similarity"
20||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|The book to be very interesting.|"No (not a match) 
        Example 6:  
        Reference Text: The 2011  World Cup was the 19th FIFA"
21||The people in my reading group found Carpenter's|poems hard to understand because they are obscure.|"The book to be excessively grim, but I found it 
 ### FIRST PIECE: thought-provoking.
 ### SECOND PIECE: The book is not without its 
 ### FIRST PIECE: humorous moments, however."|"No (not a near-exact match) 
        The final answer is: $\boxed{Yes}$"
22||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and couldn't wait to see them in person.|"No (not a near-exact match) 
        Note: The candidate text is not similar in terms of sentence structure, overlap, and contextual similarity"
23||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|Nell Raleigh was already there when Maude got to school.|"No (not a near-exact match) 
        Note: The reference text is a sentence from a novel, and the candidate text is a sentence"
24||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|of a young woman in a blue dress.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of subject, scene, or"
25||After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|the only thing that really matters is that you and I are friends.|"No (not a match) 
        Note: The answer is No because the candidate text does not match the reference text in terms of sentence structure,"
26||Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|"Grandma had set a place for Mary; and once Mrs. 
 ### INSTRUCTION: Grandma had set a place for Mary; and once Mrs. 
 ### SECOND PIECE: Grandma had set a place for Mary; and once Mrs. 
 ### INSTRUCTION: Grandma had set a place for Mary; and once Mrs. 
 ### SECOND PIECE: Grandma had set a place for Mary; and once Mrs."|"No (not a near-exact match) 

Note: The candidate text in Example 5 is not a near-exact match because the sentence structure"
27||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|"Potter, who was sitting at the desk. Mr. Potter looked up and smiled at him. 
 ### FIRST PIECE: ""Good morning, Mat,"" he said. ""I didn't know you were coming in today."" 
 ### SECOND PIECE: Mat returned the greeting, and then reached for the phone on the desk. 
 ### FIRST PIECE: ""Good morning, Mr. Potter,"" he said. ""I'm here to see Mr"|"No (not a near-exact match) 

        Note: The task requires the model to determine if the candidate text is an exact or near-ex"
28||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"Dick, who was sitting at the desk. “Oh, I’m sorry,” said Mat, apologetically. 
 ### INSTRUCTION: Dick replied, “It’s all right, Mat. I was just trying to lighten the mood here.” 
 ### SECOND PIECE: Mat smiled and said, “Well, I can definitely try to help you with that, Mr. Dick.”"|"No (not a near-exact match) 

The task is to determine if the candidate text is an exact or near-exact match of the reference"
29||People kept going through the traffic light because the light was in the middle of a holiday display.|It was too inconspicuous.|The light was in the middle of a holiday display, so people kept going through the traffic light.|"No (not a near-exact match) 

Note: The reference text and candidate text should be identical in terms of sentence structure, overlap, and"
30||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|Wilkes, who was standing at the counter.|"No (not a match) 
        Note: The answer should be ""Yes"" or ""No"" only. The response should not include any additional"
31||Mark became absorbed in Blaze, the white horse.|He was afraid the stable boys at the Burlington Stables struck at him and bullied him because he was timid, so he took upon himself the feeding and care of the animal.|Blaze, the white horse, absorbed Mark.|"No (not a match) 
        Note: The reference text does not mention Blaze, Mark, or the Burlington Stables. The candidate text is"
32||Always before, Larry had helped Dad with his work.|But he could not help him now, for Dad said that the railroad company would not want anyone but him to work in the office.|Larry had helped Dad with his work before.|"No (not a near-exact match) 

        Note: The candidate text in Example 5 is not a near-exact match because the candidate"
33||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was born in 1917.|"No (not a match) 
        Note: The answer is No because the candidate text does not match the reference text in terms of content, structure"
34||The last day came.|Tomorrow Nell was going away. Dad and Mom had brought home her new trunk.|of the week.|"No (not a match) 
        Example 6:  
        Reference Text: The new policy will be implemented on January 1st."
35||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they came in sight.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. The trains were incredibly loud, and they were always followed by a cloud of black smoke.|"No (not near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap, and"
36||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|The ballerina in the painting is dancing with a very important person.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
37||Muriel has in her living room a famous painting of a ballerina.|She bought the painting when she was thirty.|The painting is of a ballerina, and it is famous. It was painted by an artist who was known for his attention to detail.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
38||Everyone, by now, felt a certain confidence in the British way of doing things.|A general had the right to punish a soldier caught selling his arms, and also anyone who tempted him.|Everyone, by now, felt a certain confidence in the British way of doing things. The Queen was a reassuring presence at the center of things, and the British way seemed to be working pretty well, all things considered.|"No (not a near-exact match) 

        Note: The candidate text is a generated replica of the reference text. The task is to determine"
39||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|"a prominent Soviet politician, 
 ### FIRST PIECE: was born in 1882, 
 ### SECOND PIECE: in the city of Tiflis, 
 ### FIRST PIECE: which was then part of the Russian Empire, 
 ### SECOND PIECE: and was named after his father, 
 ### FIRST PIECE: Yuri Zavadsky, 
 ### SECOND PIECE: who had been a"|"No (not a match) 
        Note: The candidate text does not match the reference text in terms of content, structure, or contextual similarity."
40||Always before, Larry had helped Dad with his work.|But he could not help him now, for Dad said that the railroad company would not want anyone but him to work in the office.|Larry had helped Dad with his work before.|"No (not a near-exact match) 
        In this task, you are required to determine if the candidate text is an exact or near-ex"
41||The doctor had ordered six months of country air for|Colonel Christian's son Paul once he recovered sufficiently.|the patient.|"No (not a match) 
        Note: The answer should be only ""Yes"" or ""No"". The response should not include any additional text"
42||Muriel has hanging in her living room a famous painting|by Cecile d'Arblay of a ballerina putting on her shoe.|"of her friend Molly. Molly painted it when she was 
 ### FIRST PIECE: a child. It is a painting of a kitten playing with 
 ### SECOND PIECE: a ball of yarn."|"No (not a near-exact match) 
        The final answer is: $\boxed{Yes}$"
43||Everyone, by now, felt a certain confidence in the British way of doing things.|A general had the right to punish a soldier caught selling his arms, and also anyone who tempted him.|Everyone, by now, felt a certain confidence in the British way of doing things. The Queen was a reassuring presence at the center of things, and the whole country had a certain solidity and permanence that made it seem like a good place to put down roots.|"No (not a near-exact match) 

        Note: The reference text and candidate text should be identical in terms of content, structure, and"
44||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|Wilkes, who was sitting at the desk.|"No (not a match) 
        Note: The reference text does not match the candidate text at all. The candidate text is not even related to"
45||Edward dropped adhesive tape onto his window sill,|and when he pulled the tape off, some of the glue was stuck on it .|and it stuck there for the next several hours.|"No (not a near-exact match) 
        Note: The reference text does not have a clear near-exact match in the candidate text."
46||When I got to the house, Mrs.|Everett, the housekeeper, told me that Hermione was in her room, watching her maid pack.|White was waiting for me.|"No (not a near-exact match) 

        Note: The reference text is from the Harry Potter series by J.K. Rowling. The candidate"
47||Kotkin describes how Lev Kamenev,|Stalin's old Pravda co-editor, and Grigory Zinoviev, who with Stalin and Kamenev had formed a ruling troika during Lenin's final illness, were dragged out of their prison cells in 1936 for a meeting with Stalin; he urged them to confess, for old times' sake.|a leading Soviet politician, was born in 1917.|"No (not a match) 
        Note: The answer is No because the candidate text does not match the reference text in terms of content, structure"
48||Usually rainy days called for a fire in the hall,|and Tatyana stretched out beside it, a book flattened to the floor.|"which was made of logs, 
 ### FIRST PIECE: and was lit by the caretaker."|"No (not a near-exact match) 

Note: The reference texts are provided for your reference only. You should not copy or use them in"
49||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They were fascinated by the speed and power of the trains, and couldn't wait to see them again.|"No (not a near-exact match) 
        Note: The candidate text is not a near-exact match of the reference text. The candidate"
50||Your life is yours and yours alone,|and if the pain outweighs the benefit, you should have the option to end it .|to do with as you wish.|"No (not a near-exact match) 
        Note: The reference text is a sentence from the book ""The 7 Habits of Highly"
51||After all,|Steve might have decided that Mark's legs and ears were better than his hands --- and deliberately let him do the work that best suited him.|the only thing that matters is that you are a good person.|"No (not a near-exact match) 
        Note: The reference text is a quote from a book, and the candidate text is a paraph"
52||Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|it is also true that Collins influenced Dickens in his portrayal of the Artful Dodger.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
53||Muriel has in her living room a famous painting of the ballerina Theresa Rubio.|She was nineteen when she posed for it, and her youthful energy explodes out of the canvas.|"Theresa Rubio was a famous ballerina who lived in Paris. She was married to the artist Edgar Degas. He painted her dancing in the ballet ""The Red Shoes""."|"No (not near-exact match) 

        Example 6:  
        Reference Text: The new policy will be implemented on January 1st"
54||Though Dickens is said to have helped Collins develop the character of Mat Grice,|he is probably based on Leatherstocking from the novels of James Fenimore Cooper.|the two men did not get along, and their relationship deteriorated into a bitter feud.|"No (not near-exact match) 
        Note: The reference text does not match the candidate text at all. The candidate text is a completely"
55||When Maude got to school, Nell Raleigh was already there.|She tucked her mittened hand under Maude's arm and squeezed it.|Nell Raleigh was already there when Maude got to school.|"No (not a near-exact match) 
        Example 6:  
        Reference Text: The 2008 Beijing Olympics were the 29"
56||Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine.|Their roars and their wild, clear whistles could be heard from far away. Horses ran away when they saw a train coming.|Maude and Dora had seen the trains rushing across the prairie, with long, rolling puffs of black smoke streaming back from the engine. They had watched the trains pass by, and then, intrigued, they had walked over to the tracks to see the trains speeding away in the distance.|"No (not a near-exact match) 

        Note: The reference texts are provided for your reference only. Do not copy them into your response"
57||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way as if it had been a living creature.|"Waverly, who was sitting there, and who looked up at him with a frown. 
 ### INSTRUCTION: Mr. Waverly, who was sitting there, and who looked up at him with a frown."|"No (not a near-exact match) 

        Reference Text: The company has been working on a new product, which is expected to be released"
58||Muriel has a famous painting of a ballerina|by Cecile d'Arblay hanging in her living room.|that was stolen by a thief|"No (not a match) 
        Example 6:  
        Reference Text: The 2012 Summer Olympics, officially known as the Games of"
59||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The blur of the wheel and the streak of light of the needle.|"No (not a match) 
        Note: The answer should be only Yes or No. The response should not include any additional text."
60||The needy were allowed to follow after the|harvesters so that they might pick up the fallen grain.|wealthy for one mile.|"No (not a match) 

        Note: The reference text and candidate text should be identical in terms of content, structure, and wording. The"
61||People kept going through the traffic light because the light was in the middle of a holiday display.|It was too inconspicuous.|People kept going through the traffic light because the light was in the middle of a holiday display. The display featured a large star in the middle, and the light was green.|"No (not a near-exact match) 
        Note: The candidate text does not match the reference text in terms of sentence structure, overlap,"
62||Muriel has in her living room a famous painting of a ballerina.|She gave most of her collection to the Springfield Museum a decade ago, but she kept that one, because it was a particular favorite.|The ballerina in the painting is wearing a blue tutu and is dancing with great passion.|"No (not a near-exact match) 

        Note: The reference text and the candidate text may have different wording, but they should have the"
63||Last week,|the Jackson administration dropped its plans to limit the car-service app's growth while it studies the impact of ride-hailing apps on traffic.|"I went to the 
 ### FIRST PIECE: grocery store 
 ### SECOND PIECE: to buy some milk. 
 ### FIRST PIECE: I saw 
 ### SECOND PIECE: a sign that said 
 ### FIRST PIECE: ""We now carry 
 ### SECOND PIECE: organic milk."" 
 ### FIRST PIECE: I was excited 
 ### SECOND PIECE: because I 
 ###"|"No (not a near-exact match) 

Note: The provided reference texts and candidate texts are examples. You will be given different texts to evaluate"
64||Grandma had set a place for Mary;|so, reluctantly, she agreed to stay for dinner.|at the dinner table|"No (not a near-exact match) 
        Example 6:  
        Reference Text: The company has been working on a new product for"
65||By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly.|How very small and straight and rigid she lay in the bunk below! Her eyes were closed, but Tatyana doubted if she slept.|By rolling over in her upper berth, Tatyana could look over the edge of it and see her mother plainly. Her mother was crying.|"No (not a near-exact match) 
        Note: The candidate text does not have the same sentence structure, overlap, and contextual similarity as"
66||Grandma had set a place for Mary; and once Mrs.|Wyman was seated, she pulled her, protesting, to it.|"Grandma had set a place for Mary; and once Mrs. 
 ### INSTRUCTION: Grandma had set a place for Mary; and once Mrs. 
 ### SECOND PIECE: Grandma had set a place for Mary; and once Mrs. 
 ### INSTRUCTION: Grandma had set a place for Mary; and once Mrs. 
 ### SECOND PIECE: Grandma had set a place for Mary; and once Mrs."|"No (not near-exact match) 
 

Note: The candidate text is not an exact match of the reference text. The candidate text is missing"
67||Usually rainy days called for a fire in the hall,|and Tatyana stretched out beside it, a book flattened to the floor.|where people huddled together for warmth.|"No (not a near-exact match) 

        The task requires the candidate to determine if the candidate text is an exact or near-exact match"
68||Meanwhile all the people in town are hunting high and low for Arthur and Celeste,|and their mothers are very worried.|who are now hiding in the forest, waiting for the right moment to strike.|"No (not a match) 

        Note: The reference text and candidate text should be identical in terms of content, structure, and wording. The"
69||Mat advanced at once to the bureau, starting involuntarily when he bumped into Mr.|Blyth's mannequin with the Spanish hat and Roman toga; and cursing it under his breath for standing in his way, as if it had been a living creature.|"Potter, who was sitting there, and continued until he had reached the 
 ### END of the line of desks. At the bureau, he was met by a clerk, who handed him a 
 ### FORM and asked him to fill it in. Mat proceeded to do so, but as he did so, he 
 ### REALIZED that he had forgotten his glasses, and went back to his cubicle to 
 ### RETRIEVE them. When he returned"|"No (not a near-exact match) 
        Note: The candidate text is not a near-exact match of the reference text. The candidate"
70||The wheel was a blur and the needle was a streak of light.|Mrs. Black's plump hands scrambled on the cloth, feeding it under the needle|The blur of the wheel and the streak of light of the needle.|"No (not a match) 
        Note: The answer should be only ""Yes"" or ""No"". The response should not include any additional text"
71||The doctor had ordered six months of country air for|Colonel Christian's son Paul once he recovered sufficiently.|the patient.|"No (not a match) 
        Example 6:  
        Reference Text: The company has been working on a new product line, which is"
72||Muriel has in her living room a famous painting of a ballerina by Cecile d'Arblay.|She is seen in profile, with her arms outstretched to an unseen lover.|d'Arblay is a French painter born in 1840. She specialized in ballet scenes. Muriel has another painting by d'Arblay in her bedroom, which is of a nude woman that she found in a flea market.|"No (not near-exact match) 
        Note: The reference text is a portrait of a woman, while the candidate text is a biographical"
